date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-07-08,03:39:12.919,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,5.30,147.98,39.40,4.63,685.15,0.00,11.76,92,1,3928322,50,0,-3.49,0.00,,
2025-07-08,03:39:13.119,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,6.90,148.00,44.20,5.65,836.20,0.00,12.78,92,2,3928323,50,0,-3.53,0.00,,
2025-07-08,03:39:13.319,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,7.50,147.92,54.90,7.75,1146.38,0.00,14.12,92,2,3928323,50,0,-4.01,0.00,,
2025-07-08,03:39:13.519,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,8.80,147.83,42.80,6.24,922.46,0.00,14.57,92,3,3928324,50,0,-3.66,0.00,,
2025-07-08,03:39:13.719,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,9.70,147.68,45.70,7.36,1086.92,0.00,16.10,91,3,3928324,50,0,-3.89,0.00,,
2025-07-08,03:39:13.920,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,11.60,147.72,37.60,5.92,874.50,0.00,15.74,91,4,3928325,50,0,-3.33,0.00,,
2025-07-08,03:39:14.119,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,12.20,147.79,16.30,2.69,397.56,0.00,16.49,92,5,3928326,50,0,-1.44,0.00,,
2025-07-08,03:39:14.339,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,17.90,147.50,30.00,5.37,792.08,0.00,17.89,91,6,3928327,50,0,-3.52,0.00,,
2025-07-08,03:39:14.523,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,16.20,147.67,46.30,8.70,1284.73,0.00,18.80,91,7,3928328,50,0,-3.33,0.00,,
2025-07-08,03:39:15.081,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,16.30,144.93,132.20,37.72,5466.76,0.00,28.53,85,9,3928330,50,0,-5.63,0.00,,
2025-07-08,03:39:15.171,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,18.50,143.66,126.40,39.08,5614.23,0.00,30.92,82,10,3928331,50,0,-5.55,0.00,,
2025-07-08,03:39:15.642,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,25.10,142.99,102.80,34.38,4916.00,0.00,33.44,80,13,3928334,50,0,-5.10,0.00,,
2025-07-08,03:39:15.743,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,27.20,142.07,143.20,54.79,7784.02,0.00,38.26,78,15,3928336,50,0,-5.90,0.00,,
2025-07-08,03:39:15.921,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,29.80,141.50,144.60,59.00,8348.50,0.00,40.80,77,17,3928338,50,0,-5.91,0.00,,
2025-07-08,03:39:16.121,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,32.30,140.56,143.30,59.01,8294.45,0.00,41.18,75,19,3928340,50,0,-5.88,0.00,,
2025-07-08,03:39:16.319,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,35.90,140.03,141.50,64.24,8995.53,0.00,45.40,74,21,3928342,50,0,-5.87,0.00,,
2025-07-08,03:39:16.539,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,38.70,139.77,131.70,62.90,8791.53,0.00,47.76,73,23,3928344,50,0,-5.66,0.00,,
2025-07-08,03:39:17.539,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,53.40,137.05,121.70,70.61,9677.10,0.00,58.02,67,38,3928359,50,0,-5.50,0.00,,
2025-07-08,03:39:17.539,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,53.40,137.05,121.70,70.61,9677.10,0.00,58.02,67,38,3928359,50,0,-5.50,0.00,,
2025-07-08,03:39:17.539,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,53.40,137.05,121.70,70.61,9677.10,0.00,58.02,67,38,3928359,50,0,-5.50,0.00,,
2025-07-08,03:39:17.539,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,53.40,137.05,121.70,70.61,9677.10,0.00,58.02,67,38,3928359,50,0,-5.50,0.00,,
2025-07-08,03:39:18.138,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,60.60,140.12,62.20,34.99,4902.80,0.00,56.25,74,48,3928369,50,0,-4.27,0.00,,
2025-07-08,03:39:18.138,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,60.60,140.12,62.20,34.99,4902.80,0.00,56.25,74,48,3928369,50,0,-4.27,0.00,,
2025-07-08,03:39:18.138,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,60.60,140.12,62.20,34.99,4902.80,0.00,56.25,74,48,3928369,50,0,-4.27,0.00,,
2025-07-08,03:39:18.724,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,64.20,140.26,88.80,54.36,7624.53,0.00,61.22,74,58,3928379,50,0,-4.79,0.00,,
2025-07-08,03:39:18.724,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,64.20,140.26,88.80,54.36,7624.53,0.00,61.22,74,58,3928379,50,0,-4.79,0.00,,
2025-07-08,03:39:18.724,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,64.20,140.26,88.80,54.36,7624.53,0.00,61.22,74,58,3928379,50,0,-4.79,0.00,,
2025-07-08,03:39:19.323,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,68.90,141.69,20.10,12.09,1713.03,0.00,60.16,77,70,3928391,50,0,-2.74,0.00,,
2025-07-08,03:39:19.323,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,68.90,141.69,20.10,12.09,1713.03,0.00,60.16,77,70,3928391,50,0,-2.74,0.00,,
2025-07-08,03:39:19.323,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,68.90,141.69,20.10,12.09,1713.03,0.00,60.16,77,70,3928391,50,0,-2.74,0.00,,
2025-07-08,03:39:19.941,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,69.70,140.25,82.00,54.46,7638.02,0.00,66.41,74,82,3928403,50,0,-4.68,0.00,,
2025-07-08,03:39:19.941,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,69.70,140.25,82.00,54.46,7638.02,0.00,66.41,74,82,3928403,50,0,-4.68,0.00,,
2025-07-08,03:39:19.941,55.755069999999996,37.665525,12.3873046875,149.5,268.32,0,69.70,140.25,82.00,54.46,7638.02,0.00,66.41,74,82,3928403,50,0,-4.68,0.00,,
